,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,albany,40,US,1565562744,41,42.65,-73.75,79.0,14.99
88,ushuaia,75,AR,1565562992,94,-54.81,-68.31,32.0,17.22
89,mataura,72,NZ,1565562990,94,-46.19,168.86,46.0,3.0
90,kudahuvadhoo,100,MV,1565563008,73,2.67,72.89,83.15,6.29
91,paita,0,PE,1565563008,290,-5.09,-81.11,62.6,22.03
92,ushuaia,75,AR,1565562992,94,-54.81,-68.31,32.0,17.22
93,tuktoyaktuk,90,CA,1565562988,93,69.44,-133.03,42.8,20.8
94,hobart,75,AU,1565562717,65,-42.88,147.33,50.0,17.22
95,vardo,1,US,1565562814,28,39.62,-77.74,86.0,8.05
96,westerland,40,NL,1565563010,77,52.89,4.93,64.99,20.8
97,thompson,40,CA,1565563011,42,55.74,-97.86,68.0,14.99
98,darlowo,95,PL,1565563011,59,54.42,16.41,72.0,6.8
99,fare,21,PF,1565563011,79,-16.7,-151.02,79.19,13.49
100,barrow,13,AR,1565563012,59,-38.31,-60.23,47.87,5.35
101,yellowknife,20,CA,1565562994,55,62.45,-114.38,64.4,6.93
102,kutum,58,SD,1565563012,74,14.2,24.66,70.19,25.1
103,cape town,75,ZA,1565562714,87,-33.93,18.42,55.0,11.41
104,geraldton,20,CA,1565563013,40,49.72,-86.95,71.6,8.05
105,bluff,0,AU,1565563013,41,-23.58,149.07,59.75,2.13
106,kimbe,80,PG,1565563013,65,-5.56,150.15,84.95,1.54
107,bambous virieux,75,MU,1565562980,73,-20.34,57.76,73.0,13.87
108,longyearbyen,20,NO,1565563015,75,78.22,15.63,41.0,8.05
109,busselton,0,AU,1565562991,45,-33.64,115.35,53.01,21.39
110,ushuaia,75,AR,1565562992,94,-54.81,-68.31,32.0,17.22
111,cherskiy,100,RU,1565563016,63,68.75,161.3,55.25,9.1
112,necochea,84,AR,1565563017,83,-38.55,-58.74,46.99,3.0
113,tiksi,66,RU,1565562852,64,71.64,128.87,56.51,4.09
114,karratha,30,AU,1565563018,24,-20.74,116.85,68.75,13.2
115,puertollano,100,ES,1565562977,29,38.69,-4.11,71.01,3.0
116,chancay,90,PE,1565563019,82,-11.56,-77.27,60.8,8.05
117,lagoa,0,PT,1565562729,53,37.14,-8.45,71.6,12.75
118,prince george,40,CA,1565562810,77,53.92,-122.75,68.0,6.93
119,busselton,0,AU,1565562991,45,-33.64,115.35,53.01,21.39
120,ahipara,47,NZ,1565563019,100,-35.17,173.16,60.01,28.9
121,mathathane,0,BW,1565563020,56,-22.27,28.75,57.77,5.64
122,albany,40,US,1565562744,41,42.65,-73.75,79.0,14.99
123,ushuaia,75,AR,1565562992,94,-54.81,-68.31,32.0,17.22
124,the valley,20,AI,1565563021,69,18.22,-63.06,84.2,9.17
125,busselton,0,AU,1565562991,45,-33.64,115.35,53.01,21.39
126,ambulu,0,ID,1565563021,91,-8.35,113.61,71.81,3.27
127,clyde river,90,CA,1565562763,93,70.47,-68.59,42.8,16.11
128,georgetown,20,GY,1565562884,79,6.8,-58.16,84.2,6.93
129,ribeira grande,40,PT,1565563022,83,38.52,-28.7,71.6,14.99
130,namibe,35,AO,1565563023,85,-15.19,12.15,63.35,9.89
131,tiksi,66,RU,1565562852,64,71.64,128.87,56.51,4.09
132,tautira,20,PF,1565563023,66,-17.73,-149.15,84.2,3.36
133,san jose,90,HN,1565562807,40,14.25,-87.96,89.6,9.17
134,bredasdorp,28,ZA,1565562740,76,-34.53,20.04,54.0,10.29
135,dergachi,90,RU,1565563024,77,51.24,48.77,55.97,18.28
136,naze,84,NG,1565563025,97,5.43,7.07,72.35,2.84
137,komsomolskiy,96,RU,1565563026,92,67.55,63.78,32.93,9.82
138,sitka,49,US,1565562879,33,37.17,-99.65,100.0,10.0
139,cayenne,0,GF,1565563026,88,4.94,-52.33,78.8,2.24
140,bathsheba,40,BB,1565562798,74,13.22,-59.52,82.4,14.99
141,nassau,0,AT,1565562983,88,46.81,15.34,69.8,1.12
142,butaritari,86,KI,1565563027,73,3.07,172.79,82.43,6.53
143,port lincoln,98,AU,1565562999,70,-34.72,135.86,52.01,10.33
144,ushuaia,75,AR,1565562992,94,-54.81,-68.31,32.0,17.22
145,moshi,75,TZ,1565563028,82,-3.36,37.34,62.6,2.42
146,bredasdorp,28,ZA,1565562740,76,-34.53,20.04,54.0,10.29
147,homestead,20,US,1565563029,88,25.47,-80.48,82.0,9.17
148,jamestown,6,AU,1565562981,72,-33.21,138.6,46.07,0.85
149,tokonou,100,GN,1565563029,88,9.65,-9.78,69.65,6.73
150,new norfolk,75,AU,1565562995,65,-42.78,147.06,50.0,17.22
151,ushuaia,75,AR,1565562992,94,-54.81,-68.31,32.0,17.22
152,rikitea,99,PF,1565562983,83,-23.12,-134.97,72.53,18.34
153,longyearbyen,20,NO,1565563015,75,78.22,15.63,41.0,8.05
154,albany,40,US,1565562744,41,42.65,-73.75,79.0,14.99
